"RF_Weight","XGB_Weight","RMSE","MAE","R2"
0,1,4.11544331028316,2.59386618711782,0.944273674299044
0.01,0.99,4.11807644349326,2.59423780027322,0.944242717567338
0.02,0.98,4.12089104919882,2.59460941342862,0.944206725110769
0.03,0.97,4.12388675582795,2.59498102658402,0.944165681592432
0.04,0.96,4.12706316901409,2.59578987432142,0.944119571788703
0.05,0.95,4.13041987185145,2.59699434549104,0.944068380590739
0.06,0.94,4.13395642516359,2.59880587356276,0.944012093005965
0.07,0.93,4.13767236778488,2.60074331876754,0.943950694159564
0.08,0.92,4.1415672168544,2.60280498168666,0.943884169295968
0.09,0.91,4.14564046812177,2.60505127961212,0.943812503780344
0.1,0.9,4.14989159626465,2.60735526022145,0.943735683100082
0.11,0.89,4.15432005521726,2.60965924083078,0.94365369286628
0.12,0.88,4.15892527850957,2.6119632214401,0.943566518815224
0.13,0.87,4.16370667961671,2.61426720204943,0.943474146809873
0.14,0.86,4.16866365231796,2.61703074987855,0.943376562841333
0.15,0.85,4.17379557106507,2.61987586185877,0.943273753030336
0.16,0.84,4.17910179135913,2.622737409002,0.943165703628713
0.17,0.83,4.18458165013577,2.62643854271893,0.943052401020864
0.18,0.82,4.19023446615798,2.63070476101493,0.942933831725225
0.19,0.81,4.19605954041608,2.63498807964529,0.942809982395733
0.2,0.8,4.20205615653439,2.63927139827565,0.942680839823283
0.21,0.79,4.20822358118406,2.64378677323427,0.942546390937193
0.22,0.78,4.21456106450149,2.64831461423174,0.942406622806647
0.23,0.77,4.22106784051187,2.65323458018354,0.942261522642152
0.24,0.76,4.22774312755735,2.65890638454817,0.942111077796976
0.25,0.75,4.23458612872929,2.66516450247154,0.941955275768592
0.26,0.74,4.2415960323041,2.67147511912988,0.941794104200114
0.27,0.73,4.24877201218218,2.67781772791629,0.941627550881724
0.28,0.72,4.2561132283294,2.68428717876952,0.941455603752097
0.29,0.71,4.26361882722081,2.69080031552464,0.941278250899825
0.3,0.7,4.27128794228582,2.69731345227977,0.941095480564825
0.31,0.69,4.27911969435467,2.70382658903489,0.940907281139753
0.32,0.68,4.2871131921055,2.71040167052882,0.940713641171401
0.33,0.67,4.29526753251172,2.71705653552153,0.940514549362096
0.34,0.66,4.30358180128912,2.72394310240331,0.940309994571089
0.35,0.65,4.31205507334238,2.7312221203811,0.940099965815938
0.36,0.64,4.3206864132105,2.73876891571624,0.939884452273883
0.37,0.63,4.3294748755108,2.74631571105138,0.939663443283213
0.38,0.62,4.33841950538095,2.75386250638651,0.939436928344631
0.39,0.61,4.3475193389189,2.76144340958168,0.939204897122604
0.4,0.6,4.35677340362005,2.76926106811178,0.938967339446715
0.41,0.59,4.36618071881152,2.77719380921335,0.938724245312991
0.42,0.58,4.37574029608307,2.78516024545376,0.938475604885243
0.43,0.57,4.38545113971439,2.79312668169417,0.93822140849638
0.44,0.56,4.39531224709832,2.80109311793458,0.937961646649726
0.45,0.55,4.40532260915997,2.80905955417499,0.937696310020321
0.46,0.54,4.41548121077113,2.8170259904154,0.937425389456217
0.47,0.53,4.42578703115987,2.82499242665581,0.937148875979762
0.48,0.52,4.43623904431516,2.83295886289622,0.936866760788878
0.49,0.51,4.44683621938597,2.8411361807349,0.936579035258324
0.5,0.5,4.45757752107497,2.84949193158229,0.936285690940954
0.51,0.49,4.46846191002631,2.85801586647152,0.935986719568962
0.52,0.48,4.47948834320757,2.86700225616294,0.935682113055117
0.53,0.47,4.49065577428533,2.87598864585436,0.935371863493989
0.54,0.46,4.50196315399462,2.88519724241901,0.93505596316316
0.55,0.45,4.51340943050167,2.89456539330243,0.93473440452443
0.56,0.44,4.52499354976015,2.90399017439393,0.934407180225008
0.57,0.43,4.53671445586051,2.91356807353372,0.934074283098685
0.58,0.42,4.54857109137252,2.9232163246008,0.933735706167016
0.59,0.41,4.5605623976807,2.9332381542318,0.933391442640462
0.6,0.4,4.57268731531271,2.9432599838628,0.933041485919542
